ProductName,Category,Description,Material,Standar,VariantName,SKU,Price,Stock,ImageFileName,WeightKg
Angle Beam,Clamp & Pengunci,"Aksesoris berkualitas tinggi untuk memperkuat sudut struktur bekisting agar tetap siku, kokoh, dan presisi saat menahan tekanan pengecoran beton.",Besi Siku Baja Karbon,Menahan beban tekan sudut hingga struktur tetap presisi 90°,Angle Beam,BKS-ANGLEBEAM,,28,Bekisting-Angle-Beam-Bekisting-Indonesa.jpg,3.5
AV Kicker,Clamp & Pengunci,AV Kicker penyangga bekisting kolom/dinding heavy-duty yang berfungsi menjaga kelurusan vertikal formwork secara akurat.,Baja Adjustable Heavy-Duty,Menopang beban vertikal kolom/dinding secara akurat,AV Kicker,BKS-AVKICKER,,85,bekisting-av-kicker.jpg,4
Base Plate,Pipe Support & Sistem,Base Plate tatakan bawah pipa support atau scaffolding untuk mendistribusikan beban secara merata ke permukaan tanah/lantai kerja.,Pelat Baja Cor/Press,Mendistribusikan beban scaffolding merata ke lantai kerja,Base Plate,BKS-BASEPLATE,,98,bekisting-base-plate.jpg,1.8
Beam Clamp,Clamp & Pengunci,Pengunci balok bekisting yang kuat untuk mencengkeram balok kayu atau besi penyangga lantai cor agar tidak bergeser.,Besi Cor Ductile / Baja Tempa,"Cengkeraman kuat, tidak mudah bergeser saat beban dinamis",Beam Clamp Tipe A,BKS-BEAMCLAMPTIPEA,,25,bekisting-beam-clamp-a.jpg,2.2
Beam Clamp,Clamp & Pengunci,Pengunci balok bekisting yang kuat untuk mencengkeram balok kayu atau besi penyangga lantai cor agar tidak bergeser.,Besi Cor Ductile / Baja Tempa,"Cengkeraman kuat, tidak mudah bergeser saat beban dinamis",Beam Clamp Tipe B,BKS-BEAMCLAMPTIPEB,,48,bekisting-beam-clamp-b.jpg,2.5
Beam Clamp,Clamp & Pengunci,Pengunci balok bekisting yang kuat untuk mencengkeram balok kayu atau besi penyangga lantai cor agar tidak bergeser.,Besi Cor Ductile / Baja Tempa,"Cengkeraman kuat, tidak mudah bergeser saat beban dinamis",Beam Clamp Tipe C,BKS-BEAMCLAMPTIPEC,,106,bekisting-beam-clamp-c.jpg,2.8
Beam Rill,Girder & Rangka Besi,Rel besi pilihan (Beam Rill) sebagai balok penopang utama dalam menahan beban cetakan semen horizontal maupun vertikal.,Baja Profil Solid,Menahan beban horizontal & vertikal cetakan beton,Beam Rill 1.5M,BKS-BEAMRILL15M,,76,bekisting-beam-rill-1.5m.jpg,12
Beam Rill,Girder & Rangka Besi,Rel besi pilihan (Beam Rill) sebagai balok penopang utama dalam menahan beban cetakan semen horizontal maupun vertikal.,Baja Profil Solid,Menahan beban horizontal & vertikal cetakan beton,Beam Rill 2.0M,BKS-BEAMRILL20M,,71,bekisting-beam-rill-2.0m.jpg,16
Bracing & Bracing Siku,Girder & Rangka Besi,Pipa pengikat silang antar scaffolding dan penopang diagonal luar kolom agar panggung cor tetap stabil dan aman.,Pipa Baja Galvanis,Menjaga kestabilan struktur scaffolding dari gaya diagonal,Bracing 1.2M,BKS-BRACING12M,,16,bekisting-bracing-1.2m.jpg,5.5
Bracing & Bracing Siku,Girder & Rangka Besi,Pipa pengikat silang antar scaffolding dan penopang diagonal luar kolom agar panggung cor tetap stabil dan aman.,Pipa Baja Galvanis,Menjaga kestabilan struktur scaffolding dari gaya diagonal,Bracing Siku 2.4M,BKS-BRACINGSIKU24M,,67,bekisting-bracing-siku-2.4m.jpg,9
